epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2823529541492462,4.309007167816162,1e-04,0.2272600531578064,6.716444492340088
1,0.34686681628227234,3.5292229652404785,1e-04,0.4076451063156128,3.1392016410827637
2,0.376086562871933,2.986201286315918,1e-04,0.4295480251312256,2.644700765609741
3,0.40823879837989807,2.548002004623413,1e-04,0.4557756781578064,2.260417938232422
4,0.43222203850746155,2.215324640274048,1e-04,0.4881417751312256,1.9733213186264038
5,0.45459941029548645,1.9726020097732544,1e-04,0.5111607313156128,1.7489168643951416
6,0.4735206961631775,1.7818794250488281,1e-04,0.4880022406578064,1.668311595916748
7,0.48797348141670227,1.648786187171936,1e-04,0.5295759439468384,1.5052201747894287
8,0.5066503882408142,1.5454555749893188,1e-04,0.5378069281578064,1.433407187461853
9,0.5207889676094055,1.460189700126648,1e-04,0.5438058376312256,1.366641879081726
10,0.5337057113647461,1.3983219861984253,1e-04,0.5584542751312256,1.313265085220337
11,0.5441089272499084,1.3464608192443848,1e-04,0.56640625,1.2678756713867188
12,0.5576889514923096,1.3025058507919312,1e-04,0.5658482313156128,1.2646949291229248
13,0.5680921673774719,1.2637603282928467,1e-04,0.5712890625,1.2357689142227173
14,0.5765054821968079,1.2335633039474487,1e-04,0.591796875,1.1947474479675293
15,0.5845348238945007,1.2071099281311035,1e-04,0.6051897406578064,1.1632819175720215
16,0.5965089797973633,1.173794150352478,1e-04,0.6067243814468384,1.1552256345748901
17,0.6057252287864685,1.1443482637405396,1e-04,0.6061663031578064,1.1447709798812866
18,0.6158142685890198,1.1220505237579346,1e-04,0.609375,1.1541388034820557
19,0.6232850551605225,1.1008988618850708,1e-04,0.615234375,1.1371843814849854
20,0.6297085285186768,1.0716681480407715,1e-04,0.6086775064468384,1.1301600933074951
21,0.6414383053779602,1.0504018068313599,1e-04,0.6153739094734192,1.1362032890319824
22,0.646639883518219,1.0365756750106812,1e-04,0.6229074001312256,1.1261897087097168
23,0.6579158902168274,1.0115476846694946,1e-04,0.6075614094734192,1.2582489252090454
24,0.6643742322921753,0.9910641312599182,1e-04,0.6215122938156128,1.1251064538955688
25,0.6709024310112,0.9742556810379028,1e-04,0.6409040689468384,1.0943381786346436
26,0.6786524653434753,0.9517397880554199,1e-04,0.6404855251312256,1.0838980674743652
27,0.6871705651283264,0.9358829259872437,1e-04,0.6422991156578064,1.0877565145492554
28,0.6897538900375366,0.9173601865768433,1e-04,0.631417453289032,1.111253023147583
29,0.7040321230888367,0.896954357624054,1e-04,0.6322544813156128,1.1284379959106445
30,0.7082213163375854,0.884631872177124,1e-04,0.6393694281578064,1.0959031581878662
31,0.7161110043525696,0.8608578443527222,1e-04,0.6508091688156128,1.0831656455993652
32,0.7243847250938416,0.8373587727546692,1e-04,0.6364397406578064,1.1285679340362549
33,0.7327980399131775,0.8190934658050537,1e-04,0.6477400064468384,1.1118139028549194
34,0.7368127107620239,0.8130534887313843,1e-04,0.6416015625,1.1093541383743286
35,0.7424681186676025,0.7969134449958801,1e-04,0.645089328289032,1.1140592098236084
36,0.744458019733429,0.7847196459770203,1e-04,0.6469029188156128,1.147702932357788
37,0.7530109882354736,0.7587528228759766,1e-04,0.630859375,1.1867244243621826
38,0.7777971625328064,0.7024208903312683,2e-05,0.6583426594734192,1.127359390258789
39,0.7853377461433411,0.6758801937103271,2e-05,0.6556919813156128,1.1521906852722168
40,0.794309675693512,0.6515820622444153,2e-05,0.6629464626312256,1.1186192035675049
41,0.7969279289245605,0.6487873792648315,2e-05,0.6594587564468384,1.1282083988189697
42,0.7997556328773499,0.6412231922149658,2e-05,0.6583426594734192,1.1229450702667236
43,0.8019200563430786,0.6296646595001221,2e-05,0.6591796875,1.1286821365356445
44,0.804922342300415,0.6202427744865417,2e-05,0.6629464626312256,1.1377986669540405
45,0.805690348148346,0.6104623675346375,2e-05,0.6635044813156128,1.1498527526855469
46,0.812393069267273,0.6043550372123718,2e-05,0.6653181314468384,1.1398338079452515
47,0.8135800361633301,0.5963089466094971,2e-05,0.6651785969734192,1.1450281143188477
48,0.8160935640335083,0.5912085175514221,2e-05,0.6676897406578064,1.1193259954452515
49,0.8176994323730469,0.5882114171981812,2e-05,0.6618303656578064,1.1669065952301025
50,0.8194449543952942,0.5780088901519775,2e-05,0.6642020344734192,1.161478042602539
51,0.8241577744483948,0.5662060379981995,2e-05,0.6661551594734192,1.1826378107070923
52,0.8240879774093628,0.5622791051864624,2e-05,0.6619699001312256,1.1823575496673584
53,0.8259382247924805,0.564008891582489,2e-05,0.666573703289032,1.1618454456329346
54,0.829254686832428,0.5560914874076843,2e-05,0.6672712564468384,1.173201322555542
55,0.8298132419586182,0.5480433106422424,4e-06,0.666573703289032,1.1714634895324707
56,0.8339675068855286,0.5380308628082275,4e-06,0.671456515789032,1.1594318151474
57,0.8336184620857239,0.535055935382843,4e-06,0.6689453721046448,1.1713814735412598
58,0.8361668586730957,0.5322288274765015,4e-06,0.6679688096046448,1.1717628240585327
59,0.8361319899559021,0.533597469329834,4e-06,0.670479953289032,1.1728131771087646
60,0.8346308469772339,0.5330369472503662,4e-06,0.668526828289032,1.1736189126968384
61,0.8374585509300232,0.527083158493042,4e-06,0.6699219346046448,1.1759355068206787
62,0.8399022221565247,0.5250003337860107,4e-06,0.6703404188156128,1.1773303747177124
63,0.8391691446304321,0.5242891311645508,8e-07,0.6722935438156128,1.1771786212921143
64,0.8411589860916138,0.5184949636459351,8e-07,0.6706194281578064,1.1811468601226807
65,0.839937150478363,0.5185450315475464,8e-07,0.6708984971046448,1.1783230304718018
66,0.8427299857139587,0.5166258811950684,8e-07,0.6715959906578064,1.17926025390625
67,0.8387851119041443,0.5238561034202576,8e-07,0.6713169813156128,1.1820024251937866
68,0.840635359287262,0.5236890912055969,8e-07,0.6720145344734192,1.1777909994125366
69,0.84157794713974,0.5174981355667114,8e-07,0.672433078289032,1.1761564016342163
70,0.8392738699913025,0.5155491828918457,8e-07,0.6706194281578064,1.1804378032684326
71,0.8464653491973877,0.5071060061454773,8e-07,0.6710379719734192,1.1817691326141357
72,0.8380520343780518,0.5227804780006409,8e-07,0.6720145344734192,1.1805009841918945
73,0.839867353439331,0.5184958577156067,8e-07,0.6708984971046448,1.183443307876587
74,0.8378076553344727,0.5212578177452087,8e-07,0.6711775064468384,1.1821675300598145
75,0.8417524695396423,0.5192217826843262,8e-07,0.6710379719734192,1.182011604309082
76,0.8420667052268982,0.5176957249641418,1.6e-07,0.6710379719734192,1.183001160621643
77,0.8401815295219421,0.5159408450126648,1.6e-07,0.671456515789032,1.1826967000961304
78,0.8433583378791809,0.5070168375968933,1.6e-07,0.6711775064468384,1.1844711303710938
79,0.8412637710571289,0.5133422613143921,1.6e-07,0.6722935438156128,1.1814504861831665
80,0.8421015739440918,0.5096599459648132,1.6e-07,0.6722935438156128,1.180765151977539
81,0.8418921232223511,0.5167515277862549,1.6e-07,0.671456515789032,1.1824535131454468
82,0.8429394364356995,0.5087600350379944,3.2e-08,0.6721540689468384,1.1823151111602783
83,0.8432536125183105,0.5141810774803162,3.2e-08,0.6722935438156128,1.1820068359375
84,0.8404957056045532,0.5204732418060303,3.2e-08,0.6717355251312256,1.1807283163070679
85,0.8394833207130432,0.519313633441925,3.2e-08,0.6720145344734192,1.181917667388916
86,0.8402164578437805,0.5195988416671753,3.2e-08,0.6717355251312256,1.1827616691589355
87,0.8402862548828125,0.5182639956474304,3.2e-08,0.6715959906578064,1.1828062534332275
88,0.8411939144134521,0.5152709484100342,6.3999996e-09,0.6720145344734192,1.1832859516143799
89,0.8412288427352905,0.5175535678863525,6.3999996e-09,0.672433078289032,1.180678129196167
90,0.8432885408401489,0.5124791264533997,6.3999996e-09,0.6721540689468384,1.181570053100586
91,0.8418921232223511,0.5122933387756348,6.3999996e-09,0.6721540689468384,1.1829031705856323
92,0.8411589860916138,0.5152102708816528,6.3999996e-09,0.6718750596046448,1.1821229457855225
93,0.8403211832046509,0.5156789422035217,6.3999996e-09,0.6715959906578064,1.1824079751968384
94,0.8434281945228577,0.5161191821098328,1.2799999e-09,0.6722935438156128,1.181670904159546
95,0.8387502431869507,0.5209936499595642,1.2799999e-09,0.6718750596046448,1.1839262247085571
96,0.8426252603530884,0.5162411332130432,1.2799999e-09,0.6727120876312256,1.1824426651000977
97,0.8394833207130432,0.5175022482872009,1.2799999e-09,0.6722935438156128,1.1810328960418701
98,0.8440216183662415,0.5126537680625916,1.2799999e-09,0.6721540689468384,1.183363437652588
99,0.8410891890525818,0.5140147805213928,1.2799999e-09,0.6720145344734192,1.1817331314086914
100,0.8410193920135498,0.5162505507469177,1.2799999e-09,0.6718750596046448,1.1835893392562866
